SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
7	2201	282754	275265
8	2201	144565	141031
0	2202	84976	71522
1	2202	341805	333656
2	2202	212648	207620
3	2202	452816	440928
4	2202	317799	310051
5	2202	230027	224349
6	2202	285740	278267
7	2202	280848	273470
8	2202	144916	141426
0	2203	84141	69457
1	2203	344541	336027
2	2203	213187	207817
3	2203	455803	443038
4	2203	317580	309394
5	2203	229710	223801
6	2203	286732	278769
7	2203	280850	273234
8	2203	144379	140635
0	2204	83071	68155
1	2204	346118	337311
2	2204	216057	210465
3	2204	458311	445403
4	2204	319834	311683
5	2204	231569	225752
6	2204	288887	280893
7	2204	283985	276128
8	2204	145631	141812
0	2205	81697	67468
1	2205	349282	340910
2	2205	216931	211555
3	2205	461210	448594
4	2205	321134	313027
5	2205	233899	228053
6	2205	290068	282205
7	2205	285167	277439
8	2205	146860	143231
0	2206	80632	66540
1	2206	351410	342763
2	2206	218803	213185
3	2206	464041	451060
4	2206	324378	315979
5	2206	236025	229938
6	2206	292418	284477
7	2206	288785	280901
8	2206	148632	144807
0	2207	81233	66300
1	2207	355382	346282
2	2207	220474	214786
3	2207	469487	456119
4	2207	327810	319205
5	2207	237772	231398
6	2207	294124	285784
7	2207	290846	282568
8	2207	148689	144768
0	2208	81016	65868
1	2208	357377	347942
2	2208	222540	216569
3	2208	473265	459090
4	2208	329831	320959
5	2208	239886	233502
6	2208	296238	287817
7	2208	293186	284697
8	2208	150573	146456
0	2209	81339	66020
1	2209	363808	354041
2	2209	226182	220136
3	2209	478645	464230
4	2209	335220	326146
5	2209	243765	237118
6	2209	301267	292380
7	2209	298459	289772
8	2209	152758	148558
0	2210	84246	67531
1	2210	370092	359916
2	2210	229385	223044
3	2210	487017	472127
4	2210	340723	331263
5	2210	246698	239812
6	2210	305265	295932
7	2210	302329	293195
8	2210	155497	151077
0	2211	83675	67272
1	2211	375871	365140
2	2211	234084	227480
3	2211	496425	480683
4	2211	346581	336707
5	2211	251567	244104
6	2211	310788	301164
7	2211	307592	298237
8	2211	157852	153307
0	2212	86575	68544
1	2212	383857	371839
2	2212	238133	230735
3	2212	504306	486920
4	2212	352806	341825
5	2212	255340	247348
6	2212	316279	305629
7	2212	313580	302788
8	2212	160945	155873
0	2213	88377	69050
1	2213	391475	378319
2	2213	243031	234795
3	2213	515123	496223
4	2213	359764	347649
5	2213	262037	253009
6	2213	323345	311476
7	2213	320725	308951
8	2213	163339	157742
0	2214	89305	69988
1	2214	398006	384845
2	2214	247278	239124
3	2214	525751	506305
4	2214	367139	354879
5	2214	266403	257366
6	2214	328356	316734
7	2214	325597	313916
8	2214	167243	161620
0	2215	91947	70909
1	2215	407606	393163
2	2215	252373	243159
3	2215	538013	516349
4	2215	376757	362738
5	2215	273560	263512
6	2215	334742	321677
7	2215	333367	320161
8	2215	170352	164080
0	2216	93218	69957
1	2216	424865	407514
2	2216	262621	252062
3	2216	557877	532914
4	2216	392539	376561
5	2216	283816	272030
6	2216	345304	330297
7	2216	344088	329108
8	2216	176927	169705
0	2301	84587	71240
1	2301	345605	336538
2	2301	215148	209744
3	2301	456345	443475
4	2301	319180	310678
5	2301	232706	226597
6	2301	288491	280353
7	2301	284465	276521
8	2301	146024	142142
0	2302	84868	71317
1	2302	345920	336393
2	2302	215123	209171
3	2302	457724	444043
4	2302	320233	311481
5	2302	232357	225927
6	2302	288487	279904
7	2302	283862	275423
8	2302	146100	142043
0	2303	84002	69670
1	2303	349321	339829
2	2303	216883	210908
3	2303	459251	445405
4	2303	322102	313144
5	2303	233297	226914
6	2303	289423	280867
7	2303	286646	278059
8	2303	147172	142880
0	2304	83291	68386
1	2304	350869	341281
2	2304	218157	212147
3	2304	464091	449811
4	2304	323666	314781
5	2304	234034	227596
6	2304	291515	282857
7	2304	288384	279732
8	2304	148194	144042
0	2305	81934	67465
1	2305	354093	344781
2	2305	219881	214133
3	2305	466941	453225
4	2305	325318	316694
5	2305	236487	230110
6	2305	292474	284140
7	2305	290348	282065
8	2305	148652	144680
0	2306	80539	66558
1	2306	356604	347341
2	2306	221804	215759
3	2306	471281	457319
4	2306	329357	320336
5	2306	237906	231322
6	2306	295294	286736
7	2306	292657	284178
8	2306	149799	145854
0	2307	80367	65417
1	2307	360830	350854
2	2307	223351	217196
3	2307	475540	460919
4	2307	332378	322978
5	2307	240637	233635
6	2307	298133	289086
7	2307	294924	285875
8	2307	151143	146772
0	2308	81472	66161
1	2308	363827	353549
2	2308	227048	220858
3	2308	479814	464774
4	2308	336556	326820
5	2308	243416	236325
6	2308	301938	292621
7	2308	298084	288886
8	2308	152698	148426
0	2309	81834	66126
1	2309	371080	360151
2	2309	229889	222999
3	2309	487953	471845
4	2309	342607	332422
5	2309	248485	240989
6	2309	305786	296027
7	2309	303716	294053
8	2309	156265	151627
0	2310	84366	67403
1	2310	376030	364733
2	2310	232803	225566
3	2310	494867	478068
4	2310	346285	335654
5	2310	251579	243708
6	2310	310750	300515
7	2310	307397	297082
8	2310	157708	152820
0	2311	84567	67619
1	2311	381809	369971
2	2311	236418	228976
3	2311	503182	485687
